{nodeName: SPACEBEE-4, nodeId: 43139}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-135, nodeId: 52187}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-143, nodeId: 52394}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEENZ-15, nodeId: 52395}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEENZ-16, nodeId: 52396}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEENZ-17, nodeId: 52397}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEENZ-18, nodeId: 52398}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-140, nodeId: 52399}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-141, nodeId: 52400}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEE-142, nodeId: 52401}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEENZ-20, nodeId: 52402}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEENZ-22, nodeId: 52403}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEENZ-19, nodeId: 52404}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24130.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24100.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24070.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24040.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24010.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23980.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23950.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23920.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23890.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23860.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23830.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23800.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23770.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23740.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23710.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23680.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23650.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23620.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 23590.0, 0, 0, 0, 0, 0, 0]
{nodeName: SPACEBEENZ-21, nodeId: 52405}

mem%, time-cache, pow, len-data, len-low, len-med, len-hi, num-proc
[0.0, 60, 24460.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24430.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24400.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24370.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24340.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24310.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24280.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24250.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24220.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24190.0, 0, 0, 0, 0, 0, 0]
[0.0, 60, 24160.0, 0, 0, 0, 0, 0, 0]
